metricId,old_label,label,shortLabel,unit,unit_basis,flags
clv,Customer LTV,Customer Lifetime Value,Customer LTV,currency,formula,
customer_ltv,Realized Customer LTV,Realized Customer Lifetime Value,Realized Customer LTV,currency,formula,
student_proficiency,Student Proficiency Rate,Student Proficiency Rate,Proficiency %,rate,formula,
college_enrollment_rate,College Enrollment %,College Enrollment Rate Within 16 Months,College Enroll 16mo %,rate,formula,label disambiguates from college_enrollment (12 months)
cost_per_outcome,Cost per Outcome,Cost per Proficiency Outcome,Cost per Outcome,currency,formula,unit: per-pupil spend divided by a 0-1 rate; currency per proficiency point
ebitda,EBITDA,EBITDA,EBITDA,currency,formula,
enterprise_value,Enterprise Value,Enterprise Value,Enterprise Value,currency,formula,
free_cash_flow,Free Cash Flow,Free Cash Flow,Free Cash Flow,currency,formula,
marketing_roi,Marketing ROI,Marketing Return on Investment,Marketing ROI,rate,formula,"unit: net ROI fraction, can exceed 1"
ops_efficiency_ratio,Ops Efficiency,Operating Efficiency Ratio,Ops Efficiency,ratio,formula,known issue: description and numerator/denominator disagree
ops_north_star,Perfect Order Rate,Perfect Order Rate,Perfect Order %,rate,formula,
pipeline_generated,Pipeline Generated,Marketing-Sourced Pipeline,Pipeline Generated,currency,formula,label: description says sourced by marketing
rule_of_40,Rule of 40,Rule of 40 Score,Rule of 40,score,formula,"unit: (growth + margin) * 100, percentage points not 0-1; score or change formula to rate?"
employee_lifetime_value,Employee Lifetime Value,Employee Lifetime Value Ratio,Employee LTV,ratio,formula,"known issue: description implies currency, formula is value/cost ratio"
headcount,Headcount,Headcount,Headcount,count,formula,
turnover_rate,Turnover Rate,Employee Turnover Rate,Turnover %,rate,formula,
four_year_grad_rate,4-Year Grad Rate,Four-Year Graduation Rate,4-Year Grad Rate,rate,formula,
mql,MQLs,Marketing Qualified Leads,MQLs,count,formula,
on_time_delivery_rate,On-Time Delivery Rate,On-Time Delivery Rate,On-Time Delivery %,rate,formula,
cx_csat,CX CSAT,Customer Service CSAT Rate,CX CSAT,rate,formula,"unit: top-two-box share, so rate; csat is the averaged score"
nps,NPS,Net Promoter Score,NPS,score,formula,
account_health_score,Account Health,Account Health Score,Account Health,score,description,
aov,AOV,Average Order Value,AOV,currency,formula,
cac,CAC,Customer Acquisition Cost,CAC,currency,formula,
cac_payback,CAC Payback (mo),Customer Acquisition Cost Payback Period,CAC Payback,months,formula,
ces,CES,Customer Effort Score,CES,score,description,
cohort_ltv_12m,12-Month Cohort LTV,12-Month Cohort Lifetime Value,12-Month Cohort LTV,currency,formula,
cohort_ltv_24m,24-Month Cohort LTV,24-Month Cohort Lifetime Value,24-Month Cohort LTV,currency,formula,
customer_onboarding_time,Customer Onboarding Time,Customer Onboarding Time,Onboarding Time,days,description,
ltv_cac,LTV : CAC,Lifetime Value to Customer Acquisition Cost Ratio,LTV:CAC,ratio,formula,
marketing_cac,Marketing CAC,Marketing Customer Acquisition Cost,Marketing CAC,currency,formula,
process_automation_rate,Automation Rate,Process Automation Rate,Automation %,rate,formula,
purchase_frequency,Purchase Frequency,Purchase Frequency,Purchase Frequency,ratio,formula,unit: orders per customer
refund_rate,Refund Rate,Refund Rate,Refund %,rate,formula,
renewal_rate,Renewal Rate,Renewal Rate,Renewal %,rate,formula,
repeat_purchase_rate,Repeat Purchase %,Repeat Purchase Rate,Repeat Purchase %,rate,formula,
advanced_course_enrollment_rate,Advanced Course Enrollment,Advanced Course Enrollment Rate,Advanced Course %,rate,formula,
cross_sell_rate,Cross-Sell Rate,Cross-Sell Rate,Cross-Sell %,rate,formula,
dropout_rate,Dropout Rate,Dropout Rate,Dropout %,rate,formula,
ela_proficiency_rate,ELA Proficiency %,English Language Arts Proficiency Rate,ELA Proficiency %,rate,formula,
ell_proficiency_growth,ELL Proficiency Growth,ELL Proficiency Growth Rate,ELL Growth %,rate,formula,
fafsa_completion_rate,FAFSA Completion Rate,FAFSA Completion Rate,FAFSA Completion %,rate,formula,
grade3_reading,Gr3 Reading %,Grade 3 Reading Proficiency Rate,Gr3 Reading %,rate,formula,
iep_goal_mastery_rate,IEP Goal Mastery Rate,IEP Goal Mastery Rate,IEP Goal Mastery %,rate,formula,
kinder_readiness,K-Readiness %,Kindergarten Readiness Rate,K-Readiness %,rate,formula,
math_proficiency_rate,Math Proficiency %,Math Proficiency Rate,Math Proficiency %,rate,formula,
school_climate_score,Climate Score,School Climate Score,Climate Score,score,description,
science_proficiency_rate,Science Proficiency %,Science Proficiency Rate,Science Proficiency %,rate,formula,
staff_student_cost_ratio,Staff-to-Student Cost Ratio,Personnel Share of Operating Budget,Personnel Cost %,rate,formula,old label says ratio but formula is personnel cost / operating budget (0-1)
student_attendance_rate,Attendance Rate,Student Attendance Rate,Attendance %,rate,formula,
student_teacher_ratio,Student:Teacher Ratio,Student-to-Teacher Ratio,Student:Teacher,ratio,formula,
teacher_retention_rate,Teacher Retention Rate,Teacher Retention Rate,Teacher Retention %,rate,formula,
upsell_rate,Upsell Rate,Upsell Rate,Upsell %,rate,formula,
absenteeism_rate,Absenteeism Rate,Employee Absenteeism Rate,Absenteeism %,rate,formula,
activation_rate,Activation Rate,User Activation Rate,Activation %,rate,formula,
active_paying_users,Active Paying Users,Active Paying Users,Active Paying Users,count,formula,
acv,ACV,Average Annual Contract Value,ACV,currency,formula,
ap_participation_rate,AP Participation %,AP Participation Rate,AP Participation %,rate,formula,
ap_pass_rate,AP Pass Rate,AP Pass Rate,AP Pass %,rate,formula,
app_store_rating,App Store Rating,App Store Rating,App Store Rating,score,description,
ar_aging_90d,AR Aging 90d+,Accounts Receivable Over 90 Days,AR Aging 90d+,currency,formula,
arpu,ARPU,Average Revenue per User,ARPU,currency,formula,
asp,ASP,Average Selling Price,ASP,currency,formula,
at_risk_accounts,At-Risk Accounts,At-Risk Accounts,At-Risk Accounts,count,formula,
avg_deal_size,Avg Deal Size,Average Deal Size,Avg Deal Size,currency,formula,
avg_sales_cycle,Sales Cycle (days),Average Sales Cycle,Avg Sales Cycle,days,description,known issue: kept alongside sales_cycle_length (first touch to won)
avg_session_duration,Avg Session Duration,Average Session Duration,Avg Session Duration,seconds,formula,unit: seconds is not in the proposed enum; add it
bounce_rate,Bounce Rate,Bounce Rate,Bounce %,rate,formula,
budget_variance,Budget Variance,Budget Variance,Budget Variance,currency,formula,
budget_variance_pct,Budget Variance %,Budget Variance Rate,Budget Variance %,rate,formula,
burn_rate,Burn Rate,Cash Burn Rate,Burn Rate,currency,formula,label: 'Rate' here is a currency amount per month
capacity_utilization,Capacity Utilization %,Capacity Utilization Rate,Capacity Utilization %,rate,formula,
capex,CapEx,Capital Expenditures,CapEx,currency,formula,
carbon_emissions_per_unit,Carbon per Unit,Carbon Emissions per Unit,Carbon per Unit,ratio,formula,unit: kg CO2e per unit; no mass unit in the enum
change_failure_rate,Change Failure %,Change Failure Rate,Change Failure %,rate,formula,
chronic_absenteeism_rate,Chronic Absence %,Chronic Absenteeism Rate,Chronic Absence %,rate,formula,
cogs,COGS,Cost of Goods Sold,COGS,currency,formula,
cost_per_event_attendee,Cost / Attendee,Cost per Event Attendee,Cost / Attendee,currency,formula,
cost_per_mile,Cost per Mile,Cost per Mile,Cost per Mile,currency,formula,
cost_per_unit,Cost per Unit,Cost per Unit,Cost per Unit,currency,formula,
cpl,Cost Per Lead,Cost per Lead,CPL,currency,formula,
cpm,CPM,Cost per Thousand Impressions,CPM,currency,formula,
credit_accumulation_rate,Credit Accumulation Rate,Credit Accumulation Rate,On-Track Credits %,rate,formula,
current_ratio,Current Ratio,Current Ratio,Current Ratio,ratio,formula,
debt_ebitda,Debt / EBITDA,Debt to EBITDA Ratio,Debt / EBITDA,ratio,formula,
debt_to_equity,D/E Ratio,Debt-to-Equity Ratio,D/E Ratio,ratio,formula,
domain_authority,Domain Authority,Domain Authority,Domain Authority,score,description,
dpo,DPO,Days Payable Outstanding,DPO,days,formula,
dso,Days Sales Outstanding,Days Sales Outstanding,DSO,days,formula,
earned_media_value,Earned Media Value,Earned Media Value,Earned Media Value,currency,formula,
ebit,EBIT,EBIT,EBIT,currency,formula,acronym: EBIT added to the allowlist
ebitda_margin,EBITDA Margin,EBITDA Margin,EBITDA Margin,rate,formula,
effective_tax_rate,Effective Tax Rate,Effective Tax Rate,Effective Tax Rate,rate,formula,
enrollment_count,Enrollment Count,Student Enrollment,Enrollment,count,formula,
error_rate,Error Rate,API Error Rate,Error %,rate,formula,label: formula is over api_calls_total
ev_ebitda,EV/EBITDA,Enterprise Value to EBITDA Multiple,EV/EBITDA,ratio,formula,
expansion_pipeline,Expansion Pipeline,Expansion Pipeline,Expansion Pipeline,currency,formula,
fcr_rate,FCR Rate,First Contact Resolution Rate,FCR %,rate,formula,
first_response_time,First Response Time,First Response Time,First Response Time,hours,description,
fleet_utilization_rate,Fleet Utilization Rate,Fleet Utilization Rate,Fleet Utilization %,rate,formula,
forecast_accuracy,Forecast Accuracy %,Revenue Forecast Accuracy,Forecast Accuracy %,rate,formula,
form_conversion_rate,Form CVR %,Form Conversion Rate,Form CVR %,rate,formula,
free_to_paid_rate,Free-to-Paid %,Free-to-Paid Conversion Rate,Free-to-Paid %,rate,formula,
gender_pay_gap,Gender Pay Gap,Gender Pay Gap,Gender Pay Gap,rate,formula,description ('female median as % of male') disagrees with formula ((male - female) / male)
gmv,GMV,Gross Merchandise Value,GMV,currency,formula,
gross_margin_pct,Gross Margin %,Gross Margin,Gross Margin %,rate,formula,
gross_profit,Gross Profit,Gross Profit,Gross Profit,currency,formula,
gross_profit_per_employee,GP / Employee,Gross Profit per Employee,GP / Employee,currency,formula,
instructional_spend_ratio,Instructional Spend %,Instructional Spend Share,Instructional Spend %,rate,formula,
interest_coverage_ratio,Interest Coverage Ratio,Interest Coverage Ratio,Interest Coverage,ratio,formula,
internal_promotion_rate,Internal Promotion Rate,Internal Promotion Rate,Internal Promotion %,rate,formula,
interview_to_offer_rate,Interview-to-Offer %,Interview-to-Offer Rate,Interview-to-Offer %,rate,formula,
leverage_ratio,Leverage Ratio,Net Leverage Ratio,Leverage Ratio,ratio,formula,"label: net debt / EBITDA, distinct from debt_ebitda"
liquidity_rate,Marketplace Liquidity %,Marketplace Liquidity Rate,Marketplace Liquidity %,rate,formula,
magic_number,Magic Number,SaaS Magic Number,Magic Number,ratio,formula,
manager_effectiveness_score,Manager Effectiveness,Manager Effectiveness Score,Manager Effectiveness,score,description,
market_share,Market Share,Market Share,Market Share,rate,formula,
marketing_influenced_pipeline,Mktg Influenced Pipeline,Marketing-Influenced Pipeline,Mktg Influenced Pipeline,currency,formula,
marketing_spend,Marketing Spend,Marketing Spend,Marketing Spend,currency,formula,
mtbf,MTBF,Mean Time Between Failures,MTBF,hours,formula,
mttd,MTTD,Mean Time to Detect,MTTD,hours,description,
mttr,MTTR,Mean Time to Repair,MTTR,hours,formula,
net_debt,Net Debt,Net Debt,Net Debt,currency,formula,
net_income,Net Income,Net Income,Net Income,currency,formula,
net_income_margin,Net Income Margin,Net Income Margin,Net Margin,rate,formula,
net_new_customers,Net New Customers,Net New Customers,Net New Customers,count,formula,
new_user_signups,New Signups,New User Signups,New Signups,count,formula,
offer_acceptance_rate,Offer Acceptance Rate,Offer Acceptance Rate,Offer Acceptance %,rate,formula,
operating_cash_flow,Operating Cash Flow,Operating Cash Flow,Operating Cash Flow,currency,formula,
opex,OpEx,Operating Expenses,OpEx,currency,formula,
order_accuracy_rate,Order Accuracy Rate,Order Accuracy Rate,Order Accuracy %,rate,formula,
paid_attribution_pct,Paid Attribution %,Paid Channel Revenue Share,Paid Attribution %,rate,formula,
paid_sessions,Paid Sessions,Paid Sessions,Paid Sessions,count,formula,
per_pupil_expenditure,Per Pupil Expenditure,Per-Pupil Expenditure,Per-Pupil Spend,currency,formula,
pipeline_coverage,Pipeline Coverage,Pipeline Coverage Ratio,Pipeline Coverage,ratio,formula,
pipeline_value,Pipeline Value,Open Pipeline Value,Pipeline Value,currency,formula,
plg_rate,PLG Rate,Product-Led Signup Share,PLG %,rate,formula,label: PLG spelled out; check wording
preventive_maintenance_rate,Preventive Maintenance Rate,Preventive Maintenance Rate,Preventive Maint %,rate,formula,
push_open_rate,Push Open Rate,Push Notification Open Rate,Push Open %,rate,formula,
quick_ratio,Quick Ratio,Quick Ratio,Quick Ratio,ratio,formula,
quota_attainment,Quota Attainment,Quota Attainment,Quota Attainment %,rate,formula,unit: can exceed 1
rd_expense,R&D Expense,R&D Expense,R&D Expense,currency,formula,
referral_attribution_pct,Referral Attribution %,Referral Channel Revenue Share,Referral Attribution %,rate,formula,
rev_concentration_top10,Top 10 Customer Rev %,Top 10 Customer Revenue Share,Top 10 Customer Rev %,rate,formula,
rev_from_existing,Existing Customer Revenue,Existing Customer Revenue,Existing Customer Rev,currency,formula,
rev_from_new_customers,New Customer Revenue,New Customer Revenue,New Customer Rev,currency,formula,
review_rating,Review Rating,Third-Party Review Rating,Review Rating,score,description,
roa,ROA,Return on Assets,ROA,rate,formula,
roe,ROE,Return on Equity,ROE,rate,formula,
roic,ROIC,Return on Invested Capital,ROIC,rate,formula,
runway_months,Runway (Months),Cash Runway,Runway,months,formula,
sales_cycle_length,Sales Cycle Length,Sales Cycle Length,Sales Cycle Length,days,description,known issue: first touch to won; avg_sales_cycle is opportunity created to close
sales_spend,Sales Spend,Sales Spend,Sales Spend,currency,formula,
sessions_per_user,Sessions / User,Sessions per User,Sessions / User,ratio,formula,
sg_and_a,SG&A,"Selling, General and Administrative Expenses",SG&A,currency,formula,
student_growth_percentile,Student Growth Percentile,Median Student Growth Percentile,Growth Percentile,score,description,
share_of_voice,Share of Voice,Share of Voice,Share of Voice,rate,formula,
suspension_rate,Suspension Rate,Suspension Rate,Suspension %,rate,formula,
take_rate,Take Rate,Take Rate,Take Rate,rate,formula,
tech_debt_ratio,Tech Debt Ratio,Technical Debt Ratio,Tech Debt %,rate,formula,"unit: hours / hours, 0-1"
time_to_activate,Time to Activate,Time to Activate,Time to Activate,hours,description,
time_to_fill,Time to Fill,Time to Fill,Time to Fill,days,description,
time_to_resolution,Time to Resolution,Time to Resolution,Time to Resolution,hours,description,
time_to_value,Time to Value,Time to Value,Time to Value,days,description,
training_hours_per_employee,Training Hours / Employee,Training Hours per Employee,Training Hrs / Employee,hours,formula,
trial_to_paid_rate,Trial → Paid %,Trial-to-Paid Conversion Rate,Trial to Paid %,rate,formula,
unsubscribe_rate,Unsubscribe Rate,Email Unsubscribe Rate,Unsubscribe %,rate,formula,
viral_coefficient,Viral Coefficient (K),Viral Coefficient,Viral K,ratio,formula,
web_conversion_rate,Web Conversion Rate,Website Conversion Rate,Web CVR %,rate,formula,
website_sessions,Website Sessions,Website Sessions,Website Sessions,count,formula,
win_rate,Win Rate,Win Rate,Win Rate,rate,formula,
work_order_resolution_time,Work Order Resolution Time,Work Order Resolution Time,Work Order Time,days,description,
