metricId,dimension_id,input_models,cause,fix,change,notes
clv,segment,fct_orders;fct_unit_economics,fct_unit_economics is a segment x cohort x channel period summary with no customer; its dimensions hang off unit_economics_period only,gap,,
clv,cohort,fct_orders;fct_unit_economics,fct_unit_economics is a segment x cohort x channel period summary with no customer; its dimensions hang off unit_economics_period only,gap,,
ebitda,segment,fct_revenue;fct_gl_entries;fct_fixed_asset_entries,company-wide P&L; opex and D&A lines carry no segment,drop,,
cac_payback,channel,fct_unit_economics;fct_revenue;fct_gl_entries,"fct_unit_economics is a segment x cohort x channel period summary with no customer; its dimensions hang off unit_economics_period only; COGS comes from fct_gl_entries, and a GL line carries no customer or channel",gap,,
cac_payback,segment,fct_unit_economics;fct_revenue;fct_gl_entries,"fct_unit_economics is a segment x cohort x channel period summary with no customer; its dimensions hang off unit_economics_period only; COGS comes from fct_gl_entries, and a GL line carries no customer or channel",gap,,
cac_payback,cohort,fct_unit_economics;fct_revenue;fct_gl_entries,"fct_unit_economics is a segment x cohort x channel period summary with no customer; its dimensions hang off unit_economics_period only; COGS comes from fct_gl_entries, and a GL line carries no customer or channel",gap,,
ltv_cac,channel,fct_orders;fct_unit_economics,fct_unit_economics is a segment x cohort x channel period summary with no customer; its dimensions hang off unit_economics_period only,gap,,
advanced_course_enrollment_rate,grade_level,fct_course_enrollments;fct_enrollments,"inputs sit on different student-grain models with no shared school-year grain; fct_enrollments is a monthly snapshot, so it can't be a join target",gap,,
advanced_course_enrollment_rate,demographic_group,fct_course_enrollments;fct_enrollments,"inputs sit on different student-grain models with no shared school-year grain; fct_enrollments is a monthly snapshot, so it can't be a join target",gap,,
grade3_reading,school_year,fct_assessment_results;fct_enrollments,"inputs sit on different student-grain models with no shared school-year grain; fct_enrollments is a monthly snapshot, so it can't be a join target",gap,,
student_teacher_ratio,school_year,fct_enrollments;dim_staff,dim_staff and fct_enrollments share only school; needs a school x school-year grain,gap,,
student_teacher_ratio,grade_level,fct_enrollments;dim_staff,staff aren't assigned to a grade level in the model; teachers often span grades,drop,,UNSURE: a school x grade staffing model could make this a gap instead
ap_participation_rate,school_year,fct_course_enrollments;fct_enrollments,"inputs sit on different student-grain models with no shared school-year grain; fct_enrollments is a monthly snapshot, so it can't be a join target",gap,,
dpo,vendor,fct_balance_sheet;fct_gl_entries,AP is a balance-sheet total and COGS a GL total; needs AP by vendor (open-bill snapshot),gap,,
dso,segment,fct_balance_sheet;fct_revenue,AR is a balance-sheet total; needs AR by customer (open-invoice snapshot),gap,,
ebitda_margin,segment,fct_revenue;fct_gl_entries;fct_fixed_asset_entries,company-wide P&L; opex and D&A lines carry no segment,drop,,
gross_margin_pct,product_line,fct_revenue;fct_gl_entries,both fct_revenue and fct_gl_entries carry product; product line belongs on the product,model,dim_products: add product_line column (product__product_line),
gross_margin_pct,segment,fct_revenue;fct_gl_entries,"COGS comes from fct_gl_entries, and a GL line carries no customer or channel; needs COGS at revenue/order grain",gap,,
gross_margin_pct,channel,fct_revenue;fct_gl_entries,"COGS comes from fct_gl_entries, and a GL line carries no customer or channel; needs COGS at revenue/order grain",gap,,
gross_profit,product_line,fct_revenue;fct_gl_entries,both fct_revenue and fct_gl_entries carry product; product line belongs on the product,model,dim_products: add product_line column (product__product_line),
per_pupil_expenditure,function_code,fct_school_financials,needs a line-grain school finance model,gap,,
per_pupil_expenditure,fund,fct_school_financials,needs a line-grain school finance model,gap,,
suspension_rate,school_year,fct_discipline_incidents;fct_enrollments,"inputs sit on different student-grain models with no shared school-year grain; fct_enrollments is a monthly snapshot, so it can't be a join target",gap,,
suspension_rate,subgroup,fct_discipline_incidents;fct_enrollments,"inputs sit on different student-grain models with no shared school-year grain; fct_enrollments is a monthly snapshot, so it can't be a join target",gap,,
training_hours_per_employee,training_type,fct_training_records;fct_employee_snapshots,denominator is all employees; training type only splits the numerator,drop,,
workforce_productivity,department,fct_revenue;fct_time_records,revenue carries no department,drop,,
headcount_vs_budget,department,fct_employee_snapshots;fct_headcount_plan,department is a plain column on both models; needs a department entity (renaming the department dimension across ~18 models is out of scope),gap,,
inventory_turnover,product,fct_gl_entries;fct_inventory_snapshots,inventory snapshots are per product x location; GL already carries product,model,fct_inventory_snapshots: add product_id -> product entity,
inventory_turnover,location,fct_gl_entries;fct_inventory_snapshots,"COGS comes from GL lines, which carry no location; needs COGS by location",gap,,
bad_debt_rate,segment,fct_income_statement;fct_revenue,write-offs come from fct_income_statement (period summary); needs write-offs at invoice/customer grain,gap,,
cost_per_mql,channel,fct_ad_performance;fct_leads,channel is a campaign attribute; needs a campaign dimension model shared by fct_ad_performance and fct_leads,gap,,
cost_per_sql,channel,fct_ad_performance;fct_leads,channel is a campaign attribute; needs a campaign dimension model shared by fct_ad_performance and fct_leads,gap,,
cost_per_sql,campaign,fct_ad_performance;fct_leads,a lead carries its source campaign; fct_ad_performance already has campaign,model,fct_leads: add campaign_id -> campaign entity,
sql,rep,fct_leads,a qualified lead is owned by a rep,model,fct_leads: add rep_id -> rep entity,
seat_fill_rate,grade_level,fct_enrollments;fct_school_periods,fct_school_periods and fct_enrollments share only school; needs a school x school-year x grade grain,gap,,
grr,segment,fct_subscriptions;fct_arr_movements,"fct_arr_movements has no customer entity, so arr_movement__X and subscription_snapshot__X never meet",model,fct_arr_movements: add customer_id -> customer entity (customer__segment),
market_penetration_rate,segment,fct_subscriptions;fct_market_sizing,TAM is at market-estimate grain with no customer; needs a shared segment grain,gap,,
market_penetration_rate,geography,fct_subscriptions;fct_market_sizing,TAM is at market-estimate grain with no customer; needs a shared geography grain,gap,,
mrr_churn_rate,segment,fct_arr_movements;fct_subscriptions,"fct_arr_movements has no customer entity, so arr_movement__X and subscription_snapshot__X never meet",model,fct_arr_movements: add customer_id -> customer entity (customer__segment),
nrr,segment,fct_subscriptions;fct_arr_movements,"fct_arr_movements has no customer entity, so arr_movement__X and subscription_snapshot__X never meet",model,fct_arr_movements: add customer_id -> customer entity (customer__segment),
nrr,plan_tier,fct_subscriptions;fct_arr_movements,"fct_arr_movements has no customer entity, so arr_movement__X and subscription_snapshot__X never meet; dim_customers has no plan_tier",model,customer entity on fct_arr_movements + dim_customers: add plan_tier column,"UNSURE: customer__plan_tier is the customer's current plan, not the plan at movement time"
revenue_per_employee,department,fct_revenue;fct_employee_snapshots,revenue carries no department,drop,,
expulsion_rate,school_year,fct_discipline_incidents;fct_enrollments,"inputs sit on different student-grain models with no shared school-year grain; fct_enrollments is a monthly snapshot, so it can't be a join target",gap,,
churn_rate,cohort_month,fct_arr_movements;fct_subscriptions,"fct_arr_movements has no customer entity, so arr_movement__X and subscription_snapshot__X never meet; dim_customers has no cohort_month, and the acquisition cohort belongs on the customer",model,customer entity on fct_arr_movements + dim_customers: add cohort_month column,
