raw_dimension,count,example_metrics,dimension_id,notes
date,234,clv ebitda enterprise_value free_cash_flow marketing_roi,metric_time,Time grain is a query choice (metric_time__<grain>).
period,100,cost_per_outcome ops_north_star mql on_time_delivery_rate ces,metric_time,Time grain is a query choice (metric_time__<grain>).
channel,54,pipeline_generated mql cx_csat aov cac,channel,
department,39,employee_lifetime_value headcount turnover_rate absenteeism_rate budget_variance,department,
segment,1,customer_ltv,segment,Metric's models carry segment (customer segment).
segment,1,ebitda,segment,No model behind this metric carries segment yet; kept as customer segment (unqueryable).
segment,1,nps,segment,Metric's models carry segment (customer segment).
segment,1,account_health_score,segment,Metric's models carry segment (customer segment).
segment,1,cac_payback,segment,No model behind this metric carries segment yet; kept as customer segment (unqueryable).
segment,1,customer_onboarding_time,segment,Metric's models carry segment (customer segment).
segment,1,renewal_rate,segment,Metric's models carry segment (customer segment).
segment,1,acv,segment,Metric's models carry segment (customer segment).
segment,1,arpu,segment,Metric's models carry segment (customer segment).
segment,1,avg_deal_size,segment,Metric's models carry segment (customer segment).
segment,1,avg_sales_cycle,segment,Metric's models carry segment (customer segment).
segment,1,ebitda_margin,segment,No model behind this metric carries segment yet; kept as customer segment (unqueryable).
segment,1,forecast_accuracy,segment,Metric's models carry segment (customer segment).
segment,1,gross_margin_pct,segment,No model behind this metric carries segment yet; kept as customer segment (unqueryable).
segment,1,marketing_influenced_pipeline,segment,Metric's models carry segment (customer segment).
segment,1,pipeline_coverage,segment,Metric's models carry segment (customer segment).
segment,1,pipeline_value,segment,Metric's models carry segment (customer segment).
segment,1,quota_attainment,segment,Metric's models carry segment (customer segment).
segment,1,sales_cycle_length,segment,Metric's models carry segment (customer segment).
segment,1,unsubscribe_rate,segment,Metric's models carry segment (customer segment).
segment,1,win_rate,segment,Metric's models carry segment (customer segment).
segment,1,pct_reps_at_quota,segment,Metric's models carry segment (customer segment).
segment,1,email_click_rate,segment,Metric's models carry segment (customer segment).
segment,1,email_open_rate,segment,Metric's models carry segment (customer segment).
segment,1,sql,segment,Metric's models carry segment (customer segment).
segment,1,tickets_per_customer,segment,Metric's models carry segment (customer segment).
segment,1,billings,segment,Metric's models carry segment (customer segment).
segment,1,bookings,segment,Metric's models carry segment (customer segment).
segment,1,cohort_revenue_retention,segment,Metric's models carry segment (customer segment).
segment,1,customer_churn_rate,segment,Metric's models carry segment (customer segment).
segment,1,grr,segment,No model behind this metric carries segment yet; kept as customer segment (unqueryable).
segment,1,market_penetration_rate,segment,No model behind this metric carries segment yet; kept as customer segment (unqueryable).
segment,1,nrr,segment,No model behind this metric carries segment yet; kept as customer segment (unqueryable).
segment,1,revenue_per_account,segment,Metric's models carry segment (customer segment).
