metricId,label,old_vertical,derived_domain,cross_domain,proposed_override,override_reason,old_industry,proposed_industry
clv,Customer LTV,customer,commerce,y,,,cross_industry,cross_industry
ltv_cac,LTV : CAC,customer,commerce,y,finance,LTV:CAC is a unit-economics ratio read alongside CAC and payback in finance; first-measure order puts it in commerce via clv's AOV.,cross_industry,cross_industry
tickets_per_customer,Tickets / Customer,ops,customer,y,,,cross_industry,cross_industry
arpu,ARPU,finance,finance,y,,,cross_industry,cross_industry
gross_profit_per_employee,GP / Employee,finance,finance,y,,,cross_industry,cross_industry
inventory_turnover,Inventory Turnover,hr,finance,y,,,cross_industry,cross_industry
revenue_per_employee,Revenue per Employee,pe,finance,y,,,saas,cross_industry
workforce_productivity,Workforce Productivity,finance,finance,y,,,cross_industry,cross_industry
employees_per_1m_arr,Employees / $1M ARR,pe,hr,y,saas,A SaaS scaling benchmark read per $1M ARR; first-measure order puts it in hr via headcount.,saas,saas
cost_per_mql,Cost per MQL,marketing,marketing,y,,,cross_industry,cross_industry
cost_per_sql,Cost per SQL,marketing,marketing,y,,,cross_industry,cross_industry
arr_per_rep,ARR / Sales Rep,pe,saas,y,,,saas,saas
magic_number,Magic Number,finance,saas,y,,,cross_industry,cross_industry
market_penetration_rate,Market Penetration Rate,pe,saas,y,,,saas,saas
aov,AOV,customer,commerce,n,,,retail,retail
cross_sell_rate,Cross-Sell Rate,edu,commerce,n,,,education,education
customer_ltv,Realized Customer LTV,customer,commerce,n,,,cross_industry,cross_industry
discount_rate,Discount Rate,finance,commerce,n,,,cross_industry,cross_industry
fill_rate,Fill Rate,ops,commerce,n,,,manufacturing,manufacturing
gmv,GMV,finance,commerce,n,,,marketplace,marketplace
gross_revenue,Gross Revenue,pe,commerce,n,,,saas,cross_industry
inventory_items,Inventory Items,ops,commerce,n,,,manufacturing,manufacturing
inventory_value,Inventory Value,ops,commerce,n,,,manufacturing,manufacturing
lead_time,Lead Time,marketing,commerce,n,,,cross_industry,cross_industry
liquidity_rate,Marketplace Liquidity %,finance,commerce,n,,,marketplace,marketplace
marketplace_buyers,Active Buyers,finance,commerce,n,,,marketplace,marketplace
marketplace_sellers,Active Sellers,finance,commerce,n,,,marketplace,marketplace
net_revenue,Net Revenue,pe,commerce,n,,,saas,cross_industry
on_time_delivery_rate,On-Time Delivery Rate,ops,commerce,n,,,cross_industry,cross_industry
ops_north_star,Perfect Order Rate,finance,commerce,n,,,cross_industry,cross_industry
order_accuracy_rate,Order Accuracy Rate,finance,commerce,n,,,cross_industry,cross_industry
order_fulfillment_rate,Order Fulfillment %,ops,commerce,n,,,manufacturing,manufacturing
order_lines,Order Lines,ops,commerce,n,,,cross_industry,cross_industry
purchase_frequency,Purchase Frequency,customer,commerce,n,,,retail,retail
